"user","name","party","blok","variable","value"
"Paulin_Anne","Anne Paulin","A","red","likes_mean_t10",1.4
"Jesper_Pet","Jesper Petersen","A","red","likes_mean_t10",6.9
"RasmusPrehn","Rasmus Prehn","A","red","likes_mean_t10",19.9
"lars_aslan","Lars Aslan","A","red","likes_mean_t10",23.8
"RavnTroels","Troels Ravn","A","red","likes_mean_t10",0.8
"KasperRoug","Kasper Roug","A","red","likes_mean_t10",6.6
"JulieSkovsby","Julie Skovsby","A","red","likes_mean_t10",0
"RStoklund","Rasmus Stoklund","A","red","likes_mean_t10",51.3
"birgitte_vind","Birgitte Vind","A","red","likes_mean_t10",3.3
"NWammen","Nicolai Wammen","A","red","likes_mean_t10",121.5
"LeaWermelin","Lea Wermelin","A","red","likes_mean_t10",2.1
"PiaOlsen","Pia Olsen Dyhr","F","red","likes_mean_t10",0.9
"khoenge","Karsten Hønge","F","red","likes_mean_t10",0.8
"jacobmark_sf","Jacob Mark","F","red","likes_mean_t10",163.3
"LisbethBNielsen","Lisbeth Bech-Nielsen","F","red","likes_mean_t10",5.4
"TrineTorp","Trine Schøning Torp","F","red","likes_mean_t10",0.8
"KirstenNormann","Kirsten Normann","F","red","likes_mean_t10",2.2
"MF_K_Lorentzen","Karina Lorentzen D.","F","red","likes_mean_t10",3
"signe_munk","Signe Munk","F","red","likes_mean_t10",10.9
"Carl__Valentin","Carl Valentin","F","red","likes_mean_t10",37.4
"charlottebroman","Charlotte Mølbæk","F","red","likes_mean_t10",6.1
"Halime9Oguz","Halime Oguz","F","red","likes_mean_t10",1.5
